id,companyName,categoriesName
1032875807,PT NexWave,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875045,PT Astrazeneca Indonesia,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032632621,PT Cahaya Tiga Bintang Abadi,"Penjualan / Pemasaran,Penjualan Ritel"
1032723512,PT Indo-Ad (Ogilvy & Mather Indonesia),"Seni/Media/Komunikasi,Seni / Desain Kreatif"
1032875197,Monster Group,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032679936,PT Pfizer Indonesia,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan"
1032859776,PT JGC Indonesia,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database"
1032891495,PT Bina Utama Sakti,"Teknik,Teknik Elektro"
1032875455,"PT Kobexindo Tractors, Tbk","Penjualan / Pemasaran,Penjualan - Korporasi"
1032680001,Royal HaskoningDHV Indonesia,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan"
1032856869,PT. KASIR PINTAR INTERNASIONAL,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032875244,PT International Molding,"Manufaktur,Manufaktur"
1032875886,PT Kreatif Media Karya,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032654147,PT Ray Propertindo,"Bangunan/Konstruksi,Properti/Real Estate"
1032875841,PT Philips Indonesia Commercial,"Pelayanan,Logistik/Rantai Pasokan"
1032857291,PT Wisdra International (Grandvision Kantor Pemasaran Mandiri PT Prudential Life Assurance),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032730349,PT IMS Health Indonesia (Jakarta),"Layanan Kesehatan,Praktisi/Asisten Medis"
1032874998,pt garuda sinar perkasa grup,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032891179,ITC Auto Multifinance,"Penjualan / Pemasaran,Penjualan Ritel"
1032857352,PT Kobe Nutri Farma,"Penjualan / Pemasaran,Penjualan Ritel"
1032632513,PT Siemens Indonesia,"Teknik,Teknik Elektro"
1032759963,PT Trans Digital Media,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database"
1032875239,The Ubud Village Resort And Spa,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032856919,Yayasan Berkah Bagi Bangsa,"Layanan Kesehatan,Diagnosa/Lainnya"
1032875288,PT Jala Lintas Media,"Akuntansi / Keuangan,Audit & Pajak"
1032875247,PT Aeronusa Inti Raya,"Pelayanan,Teknikal & Bantuan Pelanggan"
1032875099,PT Pacific Place Jakarta,"Sumber Daya Manusia/Personalia,Sekretaris"
1032874695,PT Indo Porcelain,"Penjualan / Pemasaran,Penjualan Ritel"
1032875142,PT Heinz ABC Indonesia,"Sains,Teknologi Makanan/Ahli Gizi"
1032730373,PT Naku Freight Indonesia,"Layanan Kesehatan,Praktisi/Asisten Medis"
1032875139,PT Mega Finance,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan"
1032874687,PT Indo Porcelain,"Manufaktur,Manufaktur"
1032875041,PT Daelim Dobidos Indonesia,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032875297,PT Saptawarna Cemerlang,"Manufaktur,Manufaktur"
1032680040,PT Diversey Indonesia,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032914796,PT Lionel Jaya Logistics,"Sains,Pertanian"
1032875868,PT BERCA KAWAN SEJATI,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875049,PT Indo Porcelain,"Penjualan / Pemasaran,Penjualan Ritel"
1032679985,Royal HaskoningDHV Indonesia,"Pelayanan,Pengacara / Asisten Legal"
1032680055,PT. FedEx Express International,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032680082,PT Medion Farma Jaya,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032859006,PT Dua Puluh Empat Jam Online (UniPin),"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032632632,PT Cahaya Tiga Bintang Abadi,"Penjualan / Pemasaran,Penjualan Ritel"
1032875110,PT Jala Lintas Media,"Penjualan / Pemasaran,Penjualan Ritel"
1032875651,PT. Mineral Alam Abadi,"Teknik,Teknik Lainnya"
1032632600,PT Digi Asset Indonesia,"Layanan Kesehatan,Praktisi/Asisten Medis"
